time	voltage
122	-73.7508450000000
123	-73.7518210000000
124	-73.7527920000000
125	-73.7537600000000
126	-73.7547240000000
127	-73.7556840000000
128	-73.7566400000000
129	-73.7575930000000
130	-73.7585420000000
131	-73.7594870000000
132	-73.7604290000000
133	-73.7613670000000
134	-73.7623010000000
135	-73.7632310000000
136	-73.7641580000000
137	-73.7650820000000
138	-73.7660010000000
139	-73.7669180000000
140	-73.7678300000000
141	-73.7687390000000
142	-73.7696450000000
143	-73.7705470000000
144	-73.7714450000000
145	-73.7723400000000
146	-73.7732320000000
147	-73.7741200000000
148	-73.7750050000000
149	-73.7758860000000
150	-73.7767630000000
151	-73.7776380000000
152	-73.7785090000000
153	-73.7793760000000
154	-73.7802410000000
155	-73.7811020000000
156	-73.7819590000000
157	-73.7828130000000
158	-73.7836640000000
159	-73.7845120000000
160	-73.7853560000000
161	-73.7861980000000
162	-73.7870350000000
163	-73.7878700000000
164	-73.7887020000000
165	-73.7895300000000
166	-73.7903550000000
167	-73.7911770000000
168	-73.7919950000000
169	-73.7928110000000
170	-73.7936230000000
171	-73.7944320000000
172	-73.7952390000000
173	-73.7960420000000
174	-73.7968420000000
175	-73.7976380000000
176	-73.7984320000000
177	-73.7992230000000
178	-73.8000110000000
179	-73.8007950000000
180	-73.8015770000000
181	-73.8023560000000
182	-73.8031310000000
183	-73.8039040000000
184	-73.8046740000000
185	-73.8054400000000
186	-73.8062040000000
187	-73.8069650000000
188	-73.8077230000000
189	-73.8084780000000
190	-73.8092300000000
191	-73.8099790000000
192	-73.8107250000000
193	-73.8114690000000
194	-73.8122090000000
195	-73.8129470000000
196	-73.8136820000000
197	-73.8144140000000
198	-73.8151430000000
199	-73.8158690000000
200	-73.8165930000000
201	-71.4195290000000
202	-30.5333330000000
203	24.5021490000000
204	19.6802310000000
205	14.6159350000000
206	10.4816080000000
207	7.44284800000000
208	5.29313100000000
209	3.76885000000000
210	2.65886400000000
211	1.81606300000000
212	1.14355000000000
213	0.577317000000000
214	0.0731440000000000
215	-0.394856000000000
216	-0.854192000000000
217	-1.31987800000000
218	-1.80346500000000
219	-2.31277600000000
220	-2.85189500000000
221	-3.42131200000000
222	-4.01825700000000
223	-4.63743900000000
224	-5.27207200000000
225	-5.91497000000000
226	-6.55943300000000
227	-7.19981200000000
228	-7.83171700000000
229	-8.45197700000000
230	-9.05621100000000
231	-9.62909200000000
232	-10.1946850000000
233	-10.7489970000000
234	-11.2898860000000
235	-11.8163210000000
236	-12.3278700000000
237	-12.8244280000000
238	-13.3060720000000
239	-13.7729740000000
240	-14.2253620000000
241	-14.6635010000000
242	-15.0876840000000
243	-15.4982280000000
244	-15.8954760000000
245	-16.2797950000000
246	-16.6515770000000
247	-17.0112400000000
248	-17.3592210000000
249	-17.6959830000000
250	-18.0220010000000
251	-18.3377660000000
252	-18.6437760000000
253	-18.9405350000000
254	-19.2285450000000
255	-19.5083080000000
256	-19.7803160000000
257	-20.0450500000000
258	-20.3029780000000
259	-20.5545540000000
260	-20.8002130000000
261	-21.0403700000000
262	-21.2754220000000
263	-21.5057430000000
264	-21.7316880000000
265	-21.9535920000000
266	-22.1717650000000
267	-22.3865030000000
268	-22.5980770000000
269	-22.8067410000000
270	-23.0127330000000
271	-23.2162700000000
272	-23.4175550000000
273	-23.6167770000000
274	-23.8141070000000
275	-24.0097050000000
276	-24.2037170000000
277	-24.3962800000000
278	-24.5875170000000
279	-24.7775420000000
280	-24.9664610000000
281	-25.1543690000000
282	-25.3413570000000
283	-25.5275040000000
284	-25.7128860000000
285	-25.8975710000000
286	-26.0816240000000
287	-26.2651020000000
288	-26.4480600000000
289	-26.6305460000000
290	-26.8126070000000
291	-26.9942850000000
292	-27.1756190000000
293	-27.3566470000000
294	-27.5374010000000
295	-27.7179140000000
296	-27.8982160000000
297	-28.0783340000000
298	-28.2582940000000
299	-28.4381210000000
300	-28.6178380000000
301	-28.7974670000000
302	-28.9770300000000
303	-29.1565450000000
304	-29.3360330000000
305	-29.5155110000000
306	-29.6949970000000
307	-29.8745080000000
308	-30.0540600000000
309	-30.2336690000000
310	-30.4133500000000
311	-30.5931170000000
312	-30.7729860000000
313	-30.9529690000000
314	-31.1330810000000
315	-31.3133340000000
316	-31.4937420000000
317	-31.6743170000000
318	-31.8550700000000
319	-32.0360130000000
320	-32.2171590000000
321	-32.3985170000000
322	-32.5800990000000
323	-32.7619140000000
324	-32.9439730000000
325	-33.1262850000000
326	-33.3088590000000
327	-33.4917040000000
328	-33.6748280000000
329	-33.8582400000000
330	-34.0419450000000
331	-34.2259510000000
332	-34.4102650000000
333	-34.5948920000000
334	-34.7798380000000
335	-34.9651080000000
336	-35.1507060000000
337	-35.3366350000000
338	-35.5228990000000
339	-35.7095000000000
340	-35.8964410000000
341	-36.0837230000000
342	-36.2713460000000
343	-36.4593120000000
344	-36.6476190000000
345	-36.8362660000000
346	-37.0252530000000
347	-37.2145760000000
348	-37.4042340000000
349	-37.5942220000000
350	-37.7845360000000
351	-37.9751720000000
352	-38.1661250000000
353	-38.3573890000000
354	-38.5489570000000
355	-38.7408230000000
356	-38.9329790000000
357	-39.1254180000000
358	-39.3181300000000
359	-39.5111060000000
360	-39.7043380000000
361	-39.8978140000000
362	-40.0915260000000
363	-40.2854580000000
364	-40.4795900000000
365	-40.6739060000000
366	-40.8683910000000
367	-41.0630290000000
368	-41.2578060000000
369	-41.4527080000000
370	-41.6477200000000
371	-41.8428260000000
372	-42.0380110000000
373	-42.2332600000000
374	-42.4285550000000
375	-42.6238810000000
376	-42.8192220000000
377	-43.0145600000000
378	-43.2098790000000
379	-43.4051620000000
380	-43.6003920000000
381	-43.7955520000000
382	-43.9906250000000
383	-44.1855940000000
384	-44.3804420000000
385	-44.5751520000000
386	-44.7697080000000
387	-44.9640910000000
388	-45.1582870000000
389	-45.3522780000000
390	-45.5460490000000
391	-45.7395820000000
392	-45.9328630000000
393	-46.1258760000000
394	-46.3186060000000
395	-46.5110360000000
396	-46.7031530000000
397	-46.8949420000000
398	-47.0863890000000
399	-47.2774800000000
400	-47.4682010000000
401	-47.6585390000000
402	-47.8484810000000
403	-48.0380140000000
404	-48.2271270000000
405	-48.4158060000000
406	-48.6040410000000
407	-48.7918190000000
408	-48.9791310000000
409	-49.1659640000000
410	-49.3523100000000
411	-49.5381570000000
